"pick_rank","player_name","year"
"42","Sean Singletary","2008"
"43","Patrick Ewing","2008"
"44","Ante Tomić","2008"
"45","Goran Dragić","2008"
"46","Trent Plaisted","2008"
"47","Henry Walker","2008"
"48","Malik Hairston","2008"
"49","Richard Hendrix","2008"
"50","DeVon Hardin","2008"
"51","Shan Foster","2008"
"52","Darnell Jackson","2008"
"53","Tadija Dragićević","2008"
"54","Maarty Leunen","2008"
"55","Mike Taylor","2008"
"56","Sasha Kaun","2008"
"57","James Gist","2008"
"58","Joe Crawford","2008"
"59","Deron Washington","2008"
"60","Semih Erden","2008"
"1","Blake Griffin","2009"
"2","Hasheem Thabeet","2009"
"3","James Harden","2009"
"4","Tyreke Evans","2009"
"5","Ricky Rubio","2009"
"6","Jonny Flynn","2009"
"7","Stephen Curry","2009"
"8","Jordan Hill","2009"
"9","DeMar DeRozan","2009"
"10","Brandon Jennings","2009"
"11","Terrence Williams","2009"
"12","Gerald Henderson","2009"
"13","Tyler Hansbrough","2009"
"14","Earl Clark","2009"
"15","Austin Daye","2009"
"16","James Johnson","2009"
"17","Jrue Holiday","2009"
"18","Ty Lawson","2009"
"19","Jeff Teague","2009"
"20","Eric Maynor","2009"
"21","Darren Collison","2009"
"22","Victor Claver","2009"
"23","Omri Casspi","2009"
"24","Byron Mullens","2009"
"25","Rodrigue Beaubois","2009"
"26","Taj Gibson","2009"
"27","DeMarre Carroll","2009"
"28","Wayne Ellington","2009"
"29","Toney Douglas","2009"
"30","Christian Eyenga","2009"
"31","Jeff Ayres","2009"
"32","Jermaine Taylor","2009"
"33","Dante Cunningham","2009"
"34","Sergio Llull","2009"
"35","DaJuan Summers","2009"
"36","Sam Young","2009"
"37","DeJuan Blair","2009"
"38","Jon Brockman","2009"
"39","Jonas Jerebko","2009"
"40","Derrick Brown","2009"
"41","Jodie Meeks","2009"
"42","Patrick Beverley","2009"
"43","Marcus Thornton","2009"
"44","Chase Budinger","2009"
"45","Nick Calathes","2009"
"46","Danny Green","2009"
"47","Henk Norel","2009"
"48","Taylor Griffin","2009"
"49","Sergiy Gladyr","2009"
"50","Goran Suton","2009"
"51","Jack McClinton","2009"
"52","A.J. Price","2009"
"53","Nando De Colo","2009"
"54","Robert Vaden","2009"
"55","Patty Mills","2009"
"56","Ahmad Nivins","2009"
"57","Emir Preldžić","2009"
"58","Lester Hudson","2009"
"59","Chinemelu Elonu","2009"
"60","Robert Dozier","2009"
"1","John Wall","2010"
"2","Evan Turner","2010"
"3","Derrick Favors","2010"
"4","Wesley Johnson","2010"
"5","DeMarcus Cousins","2010"
"6","Ekpe Udoh","2010"
"7","Greg Monroe","2010"
"8","Al-Farouq Aminu","2010"
"9","Gordon Hayward","2010"
"10","Paul George","2010"
"11","Cole Aldrich","2010"
"12","Xavier Henry","2010"
"13","Ed Davis","2010"
"14","Patrick Patterson","2010"
"15","Larry Sanders","2010"
"16","Luke Babbitt","2010"
"17","Kevin Séraphin","2010"
"18","Eric Bledsoe","2010"
"19","Avery Bradley","2010"
"20","James Anderson","2010"
"21","Craig Brackins","2010"
"22","Elliot Williams","2010"
"23","Trevor Booker","2010"
"24","Damion James","2010"
"25","Dominique Jones","2010"
"26","Quincy Pondexter","2010"
"27","Jordan Crawford","2010"
"28","Greivis Vásquez","2010"
"29","Daniel Orton","2010"
"30","Lazar Hayward","2010"
"31","Tibor Pleiß","2010"
"32","Dexter Pittman","2010"
"33","Hassan Whiteside","2010"
"34","Armon Johnson","2010"
"35","Nemanja Bjelica","2010"
"36","Terrico White","2010"
"37","Darington Hobson","2010"
"38","Andy Rautins","2010"
"39","Landry Fields","2010"
"40","Lance Stephenson","2010"
"41","Jarvis Varnado","2010"
"42","Da'Sean Butler","2010"
"43","Devin Ebanks","2010"
"44","Jerome Jordan","2010"
"45","Paulo Prestes","2010"
"46","Gani Lawal","2010"
"47","Tiny Gallon","2010"
"48","Latavious Williams","2010"
"49","Ryan Richards","2010"
"50","Solomon Alabi","2010"
"51","Magnum Rolle","2010"
"52","Luke Harangody","2010"
"53","Pape Sy","2010"
"54","Willie Warren","2010"
"55","Jeremy Evans","2010"
"56","Hamady N'Diaye","2010"
"57","Ryan Reid","2010"
"58","Derrick Caracter","2010"
"59","Stanley Robinson","2010"
"60","Dwayne Collins","2010"
"1","Kyrie Irving","2011"
"2","Derrick Williams","2011"
"3","Enes Kanter","2011"
"4","Tristan Thompson","2011"
"5","Jonas Valančiūnas","2011"
"6","Jan Veselý","2011"
"7","Bismack Biyombo","2011"
"8","Brandon Knight","2011"
"9","Kemba Walker","2011"
"10","Jimmer Fredette","2011"
"11","Klay Thompson","2011"
"12","Alec Burks","2011"
"13","Markieff Morris","2011"
"14","Marcus Morris","2011"
"15","Kawhi Leonard","2011"
"16","Nikola Vučević","2011"
"17","Iman Shumpert","2011"
"18","Chris Singleton","2011"
"19","Tobias Harris","2011"
"20","Donatas Motiejūnas","2011"
"21","Nolan Smith","2011"
"22","Kenneth Faried","2011"
"23","Nikola Mirotić","2011"
"24","Reggie Jackson","2011"
"25","MarShon Brooks","2011"
"26","Jordan Hamilton","2011"
"27","JaJuan Johnson","2011"
"28","Norris Cole","2011"
"29","Cory Joseph","2011"
"30","Jimmy Butler","2011"
"31","Bojan Bogdanović","2011"
"32","Justin Harper","2011"
"33","Kyle Singler","2011"
"34","Shelvin Mack","2011"
"35","Tyler Honeycutt","2011"
"36","Jordan Williams","2011"
"37","Trey Thompkins","2011"
"38","Chandler Parsons","2011"
"39","Jeremy Tyler","2011"
"40","Jon Leuer","2011"
"41","Darius Morris","2011"
"42","Dāvis Bertāns","2011"
"43","Malcolm Lee","2011"
"44","Charles Jenkins","2011"
"45","Josh Harrellson","2011"
"46","Andrew Goudelock","2011"
"47","Travis Leslie","2011"
"48","Keith Benson","2011"
"49","Josh Selby","2011"
"50","Lavoy Allen","2011"
"51","Jon Diebler","2011"
"52","Vernon Macklin","2011"
"53","DeAndre Liggins","2011"
"54","Milan Mačvan","2011"
"55","E'Twaun Moore","2011"
"56","Chukwudiebere Maduabum","2011"
"57","Targuy Ngombo","2011"
"58","Ater Majok","2011"
"59","Ádám Hanga","2011"
"60","Isaiah Thomas","2011"
"1","Anthony Davis","2012"
"2","Michael Kidd-Gilchrist","2012"
"3","Bradley Beal","2012"
"4","Dion Waiters","2012"
"5","Thomas Robinson","2012"
"6","Damian Lillard","2012"
"7","Harrison Barnes","2012"
"8","Terrence Ross","2012"
"9","Andre Drummond","2012"
"10","Austin Rivers","2012"
"11","Meyers Leonard","2012"
"12","Jeremy Lamb","2012"
"13","Kendall Marshall","2012"
"14","John Henson","2012"
"15","Maurice Harkless","2012"
"16","Royce White","2012"
"17","Tyler Zeller","2012"
"18","Terrence Jones","2012"
"19","Andrew Nicholson","2012"
"20","Evan Fournier","2012"
"21","Jared Sullinger","2012"
"22","Fab Melo","2012"
"23","John Jenkins","2012"
"24","Jared Cunningham","2012"
"25","Tony Wroten","2012"
"26","Miles Plumlee","2012"
"27","Arnett Moultrie","2012"
"28","Perry Jones","2012"
"29","Marquis Teague","2012"
"30","Festus Ezeli","2012"
"31","Jeffery Taylor","2012"
"32","Tomáš Satoranský","2012"
"33","Bernard James","2012"
"34","Jae Crowder","2012"
"35","Draymond Green","2012"
"36","Orlando Johnson","2012"
"37","Quincy Acy","2012"
"38","Quincy Miller","2012"
"39","Khris Middleton","2012"
"40","Will Barton","2012"
"41","Tyshawn Taylor","2012"
"42","Doron Lamb","2012"
"43","Mike Scott","2012"
"44","Kim English","2012"
"45","Justin Hamilton","2012"
"46","Darius Miller","2012"
"47","Kevin Murphy","2012"
"48","Kostas Papanikolaou","2012"
"49","Kyle O'Quinn","2012"
"50","İzzet Türkyılmaz","2012"
"51","Kris Joseph","2012"
"52","Ognjen Kuzmić","2012"
"53","Furkan Aldemir","2012"
"54","Tornike Shengelia","2012"
"55","Darius Johnson-Odom","2012"
"56","Tomislav Zubčić","2012"
"57","İlkan Karaman","2012"
"58","Robbie Hummel","2012"
"59","Marcus Denmon","2012"
"60","Robert Sacre","2012"
"1","Anthony Bennett","2013"
"2","Victor Oladipo","2013"
"3","Otto Porter","2013"
"4","Cody Zeller","2013"
"5","Alex Len","2013"
"6","Nerlens Noel","2013"
"7","Ben McLemore","2013"
"8","Kentavious Caldwell-Pope","2013"
"9","Trey Burke","2013"
"10","CJ McCollum","2013"
"11","Michael Carter-Williams","2013"
"12","Steven Adams","2013"
"13","Kelly Olynyk","2013"
"14","Shabazz Muhammad","2013"
"15","Giannis Antetokounmpo","2013"
"16","Lucas Nogueira","2013"
"17","Dennis Schröder","2013"
"18","Shane Larkin","2013"
"19","Sergey Karasev","2013"
"20","Tony Snell","2013"
"21","Gorgui Dieng","2013"
"22","Mason Plumlee","2013"
"23","Solomon Hill","2013"
"24","Tim Hardaway","2013"
"25","Reggie Bullock","2013"
"26","Andre Roberson","2013"
"27","Rudy Gobert","2013"
"28","Livio Jean-Charles","2013"
"29","Archie Goodwin","2013"
"30","Nemanja Nedović","2013"
"31","Allen Crabbe","2013"
"32","Álex Abrines","2013"
"33","Carrick Felix","2013"
"34","Isaiah Canaan","2013"
"35","Glen Rice","2013"
"36","Ray McCallum","2013"
"37","Tony Mitchell","2013"
"38","Nate Wolters","2013"
"39","Jeff Withey","2013"
"40","Grant Jerrett","2013"
"41","Jamaal Franklin","2013"
"42","Pierre Jackson","2013"
"43","Ricky Ledo","2013"
"44","Mike Muscala","2013"
"45","Marko Todorović","2013"
"46","Erick Green","2013"
"47","Raul Neto","2013"
"48","Ryan Kelly","2013"
"49","Erik Murphy","2013"
"50","James Ennis","2013"
"51","Romero Osby","2013"
"52","Lorenzo Brown","2013"
"53","Colton Iverson","2013"
"54","Arsalan Kazemi","2013"
"55","Joffrey Lauvergne","2013"
"56","Peyton Siva","2013"
"57","Alex Oriakhi","2013"
"58","Deshaun Thomas","2013"
"59","Bojan Dubljević","2013"
"60","Jānis Timma","2013"
"1","Andrew Wiggins","2014"
"2","Jabari Parker","2014"
"3","Joel Embiid","2014"
"4","Aaron Gordon","2014"
"5","Dante Exum","2014"
"6","Marcus Smart","2014"
"7","Julius Randle","2014"
"8","Nik Stauskas","2014"
"9","Noah Vonleh","2014"
"10","Elfrid Payton","2014"
"11","Doug McDermott","2014"
"12","Dario Šarić","2014"
"13","Zach LaVine","2014"
"14","T.J. Warren","2014"
"15","Adreian Payne","2014"
"16","Jusuf Nurkić","2014"
"17","James Young","2014"
"18","Tyler Ennis","2014"
"19","Gary Harris","2014"
"20","Bruno Caboclo","2014"
"21","Mitch McGary","2014"
"22","Jordan Adams","2014"
"23","Rodney Hood","2014"
"24","Shabazz Napier","2014"
"25","Clint Capela","2014"
"26","P.J. Hairston","2014"
"27","Bogdan Bogdanović","2014"
"28","C.J. Wilcox","2014"
"29","Josh Huestis","2014"
"30","Kyle Anderson","2014"
"31","Damien Inglis","2014"
"32","K.J. McDaniels","2014"
"33","Joe Harris","2014"
"34","Cleanthony Early","2014"
"35","Jarnell Stokes","2014"
"36","Johnny O'Bryant","2014"
"37","DeAndre Daniels","2014"
"38","Spencer Dinwiddie","2014"
"39","Jerami Grant","2014"
"40","Glenn Robinson","2014"
"41","Nikola Jokić","2014"
"42","Nick Johnson","2014"
"43","Edy Tavares","2014"
"44","Markel Brown","2014"
"45","Dwight Powell","2014"
"46","Jordan Clarkson","2014"
"47","Russ Smith","2014"
"48","Lamar Patterson","2014"
"49","Cameron Bairstow","2014"
"50","Alec Brown","2014"
"51","Thanasis Antetokounmpo","2014"
"52","Vasilije Micić","2014"
"53","Alessandro Gentile","2014"
"54","Nemanja Dangubić","2014"
"55","Semaj Christon","2014"
"56","Devyn Marble","2014"
"57","Louis Labeyrie","2014"
"58","Jordan McRae","2014"
"59","Xavier Thames","2014"
"60","Cory Jefferson","2014"
"1","Karl-Anthony Towns","2015"
"2","D'Angelo Russell","2015"
"3","Jahlil Okafor","2015"
"4","Kristaps Porziņģis","2015"
"5","Mario Hezonja","2015"
"6","Willie Cauley-Stein","2015"
"7","Emmanuel Mudiay","2015"
"8","Stanley Johnson","2015"
"9","Frank Kaminsky","2015"
"10","Justise Winslow","2015"
"11","Myles Turner","2015"
"12","Trey Lyles","2015"
"13","Devin Booker","2015"
"14","Cameron Payne","2015"
"15","Kelly Oubre","2015"
"16","Terry Rozier","2015"
"17","Rashad Vaughn","2015"
"18","Sam Dekker","2015"
"19","Jerian Grant","2015"
"20","Delon Wright","2015"
"21","Justin Anderson","2015"
"22","Bobby Portis","2015"
"23","Rondae Hollis-Jefferson","2015"
"24","Tyus Jones","2015"
"25","Jarell Martin","2015"
"26","Nikola Milutinov","2015"
"27","Larry Nance","2015"
"28","R.J. Hunter","2015"
"29","Chris McCullough","2015"
"30","Kevon Looney","2015"
"31","Cedi Osman","2015"
"32","Montrezl Harrell","2015"
"33","Jordan Mickey","2015"
"34","Anthony Brown","2015"
"35","Willy Hernangómez","2015"
"36","Rakeem Christmas","2015"
"37","Richaun Holmes","2015"
"38","Darrun Hilliard","2015"
"39","Juan Pablo Vaulet","2015"
"40","Josh Richardson","2015"
"41","Pat Connaughton","2015"
"42","Olivier Hanlan","2015"
"43","Joe Young","2015"
"44","Andrew Harrison","2015"
"45","Marcus Thornton","2015"
"46","Norman Powell","2015"
"47","Artūras Gudaitis","2015"
"48","Dakari Johnson","2015"
"49","Aaron White","2015"
"50","Marcus Eriksson","2015"
"51","Tyler Harvey","2015"
"52","Satnam Singh Bhamara","2015"
"53","Sir'Dominic Pointer","2015"
"54","Dani Díez de la Faya","2015"
"55","Cady Lalanne","2015"
"56","Branden Dawson","2015"
"57","Nikola Radičević","2015"
"58","J.P. Tokoto","2015"
"59","Dimitrios Agravanis","2015"
"60","Luka Mitrović","2015"
"1","Ben Simmons","2016"
"2","Brandon Ingram","2016"
"3","Jaylen Brown","2016"
"4","Dragan Bender","2016"
"5","Kris Dunn","2016"
"6","Buddy Hield","2016"
"7","Jamal Murray","2016"
"8","Marquese Chriss","2016"
"9","Jakob Pöltl","2016"
"10","Thon Maker","2016"
"11","Domantas Sabonis","2016"
"12","Taurean Waller-Prince","2016"
"13","Georgios Papagiannis","2016"
"14","Denzel Valentine","2016"
"15","Juan Hernangómez","2016"
"16","Guerschon Yabusele","2016"
"17","Wade Baldwin","2016"
"18","Henry Ellenson","2016"
"19","Malik Beasley","2016"
"20","Caris LeVert","2016"
"21","DeAndre' Bembry","2016"
"22","Malachi Richardson","2016"
"23","Ante Žižić","2016"
"24","Timothé Luwawu-Cabarrot","2016"
"25","Brice Johnson","2016"
"26","Furkan Korkmaz","2016"
"27","Pascal Siakam","2016"
"28","Skal Labissière","2016"
"29","Dejounte Murray","2016"
"30","Damian Jones","2016"
"31","Deyonta Davis","2016"
"32","Ivica Zubac","2016"
"33","Cheick Diallo","2016"
"34","Tyler Ulis","2016"
"35","Rade Zagorac","2016"
"36","Malcolm Brogdon","2016"
"37","Chinanu Onuaku","2016"
"38","Patrick McCaw","2016"
"39","David Michineau","2016"
"40","Diamond Stone","2016"
"41","Stephen Zimmerman","2016"
"42","Isaiah Whitehead","2016"
"43","Zhou Qi","2016"
"44","Isaïa Cordinier","2016"
"45","Demetrius Jackson","2016"
"46","A.J. Hammons","2016"
"47","Jake Layman","2016"
"48","Paul Zipser","2016"
"49","Michael Gbinije","2016"
"50","Georges Niang","2016"
"51","Ben Bentil","2016"
"52","Joel Bolomboy","2016"
"53","Petr Cornelie","2016"
"54","Kay Felder","2016"
"55","Marcus Paige","2016"
"56","Daniel Hamilton","2016"
"57","Wang Zhelin","2016"
"58","Abdel Nader","2016"
"59","Isaiah Cousins","2016"
"60","Tyrone Wallace","2016"
"1","Markelle Fultz","2017"
"2","Lonzo Ball","2017"
"3","Jayson Tatum","2017"
"4","Josh Jackson","2017"
"5","De'Aaron Fox","2017"
"6","Jonathan Isaac","2017"
"7","Lauri Markkanen","2017"
"8","Frank Ntilikina","2017"
"9","Dennis Smith","2017"
"10","Zach Collins","2017"
"11","Malik Monk","2017"
"12","Luke Kennard","2017"
"13","Donovan Mitchell","2017"
"14","Bam Adebayo","2017"
"15","Justin Jackson","2017"
"16","Justin Patton","2017"
"17","D.J. Wilson","2017"
"18","T.J. Leaf","2017"
"19","John Collins","2017"
"20","Harry Giles","2017"
"21","Terrance Ferguson","2017"
"22","Jarrett Allen","2017"
"23","OG Anunoby","2017"
"24","Tyler Lydon","2017"
"25","Anžejs Pasečņiks","2017"
"26","Caleb Swanigan","2017"
"27","Kyle Kuzma","2017"
"28","Tony Bradley","2017"
"29","Derrick White","2017"
"30","Josh Hart","2017"
"31","Frank Jackson","2017"
"32","Davon Reed","2017"
"33","Wesley Iwundu","2017"
"34","Frank Mason","2017"
"35","Ivan Rabb","2017"
"36","Jonah Bolden","2017"
"37","Semi Ojeleye","2017"
"38","Jordan Bell","2017"
"39","Jawun Evans","2017"
"40","Dwayne Bacon","2017"
"41","Tyler Dorsey","2017"
"42","Thomas Bryant","2017"
"43","Isaiah Hartenstein","2017"
"44","Damyean Dotson","2017"
"45","Dillon Brooks","2017"
"46","Sterling Brown","2017"
"47","Ike Anigbogu","2017"
"48","Sindarius Thornwell","2017"
"49","Vlatko Čančar","2017"
"50","Mathias Lessort","2017"
"51","Monte Morris","2017"
"52","Edmond Sumner","2017"
"53","Kadeem Allen","2017"
"54","Alec Peters","2017"
"55","Nigel Williams-Goss","2017"
"56","Jabari Bird","2017"
"57","Aleksandar Vezenkov","2017"
"58","Ognjen Jaramaz","2017"
"59","Jaron Blossomgame","2017"
"60","Alpha Kaba","2017"
"1","Deandre Ayton","2018"
"2","Marvin Bagley","2018"
"3","Luka Dončić","2018"
"4","Jaren Jackson","2018"
"5","Trae Young","2018"
"6","Mohamed Bamba","2018"
"7","Wendell Carter","2018"
"8","Collin Sexton","2018"
"9","Kevin Knox","2018"
"10","Mikal Bridges","2018"
"11","Shai Gilgeous-Alexander","2018"
"12","Miles Bridges","2018"
"13","Jerome Robinson","2018"
"14","Michael Porter","2018"
"15","Troy Brown","2018"
"16","Zhaire Smith","2018"
"17","Donte DiVincenzo","2018"
"18","Lonnie Walker","2018"
"19","Kevin Huerter","2018"
"20","Josh Okogie","2018"
"21","Grayson Allen","2018"
"22","Chandler Hutchison","2018"
"23","Aaron Holiday","2018"
"24","Anfernee Simons","2018"
"25","Moritz Wagner","2018"
"26","Landry Shamet","2018"
"27","Robert Williams","2018"
"28","Jacob Evans","2018"
"29","Džanan Musa","2018"
"30","Omari Spellman","2018"
"31","Élie Okobo","2018"
"32","Jevon Carter","2018"
"33","Jalen Brunson","2018"
"34","Devonte' Graham","2018"
"35","Melvin Frazier","2018"
"36","Mitchell Robinson","2018"
"37","Gary Trent","2018"
"38","Khyri Thomas","2018"
"39","Isaac Bonga","2018"
"40","Rodions Kurucs","2018"
"41","Jarred Vanderbilt","2018"
"42","Bruce Brown","2018"
"43","Justin Jackson","2018"
"44","Issuf Sanon","2018"
"45","Hamidou Diallo","2018"
"46","De'Anthony Melton","2018"
"47","Sviatoslav Mykhailiuk","2018"
"48","Keita Bates-Diop","2018"
"49","Chimezie Metu","2018"
"50","Alize Johnson","2018"
"51","Tony Carr","2018"
"52","Vince Edwards","2018"
"53","Devon Hall","2018"
"54","Shake Milton","2018"
"55","Arnoldas Kulboka","2018"
"56","Ray Spalding","2018"
"57","Kevin Hervey","2018"
"58","Thomas Welsh","2018"
"59","George King","2018"
"60","Kostas Antetokounmpo","2018"
